cpu_user,cpu_nice,cpu_system,cpu_idle,cpu_iowait,cpu_irq,cpu_softirq,cpu_steal,cpu_guest,cpu_guest_nice,cpu_percent_avg,cpu_percent,cpu_user_0,cpu_nice_0,cpu_system_0,cpu_idle_0,cpu_iowait_0,cpu_irq_0,cpu_softirq_0,cpu_steal_0,cpu_guest_0,cpu_guest_nice_0,mem_total,mem_available,mem_percent,mem_used,mem_free,mem_active,mem_inactive,mem_buffers,mem_cached,mem_shared,mem_slab,swap_total,swap_used,swap_free,swap_percent,swap_sin,swap_sout,disk_total,disk_used,disk_free,disk_percent,disk_read_count,disk_write_count,disk_read_bytes,disk_write_bytes,disk_read_time,disk_write_time,disk_read_merged_count,disk_write_merged_count,disk_busy_time,net_bytes_sent,net_bytes_recv,net_packets_sent,net_packets_recv,net_errin,net_errout,net_dropin,net_dropout,timestamp,crypto_running
1,0,0,0,0,0,0,0,0,0,1,100,1,0,0,0,0,0,0,0,0,0,1016025088,613371904,39.6,239648768,265408512,243793920,383115264,28356608,482611200,856064,69279744,0,0,0,0,0,0,10340794368,4190736384,6133280768,40.6,28417,103477,1228236288,1065906176,149264,401880,8136,34523,264856,59074196,71312318,342958,351573,0,0,0,0,1637994049,0
0.1,0,0.1,99.7,0.1,0,0,0.1,0,0,1,0.3,0.1,0,0.1,99.6,0.1,0,0,0.1,0,0,1016025088,613359616,39.6,239652864,265383936,243814400,383160320,28372992,482615296,856064,69316608,0,0,0,0,0,0,10340794368,4190736384,6133280768,40.6,28419,103557,1228244480,1066348544,149265,401943,8136,34541,264876,59081916,71315002,342976,351600,0,0,0,0,1637994064,0
0.1,0,0.1,99.7,0,0,0,0,0,0,1,0.2,0.1,0,0.1,99.8,0,0,0,0,0,0,1016025088,613367808,39.6,239644672,265383936,243822592,383197184,28372992,482623488,856064,69316608,0,0,0,0,0,0,10340794368,4190744576,6133272576,40.6,28419,103557,1228244480,1066348544,149265,401943,8136,34541,264876,59084204,71316492,342986,351614,0,0,0,0,1637994079,0
0.1,0,0,99.8,0.1,0,0,0,0,0,1,0.1,0.1,0,0,99.8,0.1,0,0,0,0,0,1016025088,613388288,39.6,239632384,265383936,243843072,383217664,28381184,482627584,856064,69316608,0,0,0,0,0,0,10340794368,4190744576,6133272576,40.6,28419,103578,1228244480,1066471424,149265,401965,8136,34550,264888,59096230,71318404,343001,351633,0,0,0,0,1637994094,1
0.1,0,0.1,99.7,0,0,0,0,0,0,0,0.3,0.1,0,0.1,99.7,0,0,0,0,0,0,1016025088,613363712,39.6,239656960,265359360,243847168,383221760,28381184,482627584,856064,69341184,0,0,0,0,0,0,10340794368,4190744576,6133272576,40.6,28419,103579,1228244480,1066479616,149265,401965,8136,34550,264892,59101848,71320972,343020,351663,0,0,0,0,1637994109,1
0.1,0,0.1,99.8,0,0,0,0,0,0,0,0.2,0.1,0,0.1,99.8,0,0,0,0,0,0,1016025088,613105664,39.7,239915008,265101312,243847168,383225856,28381184,482627584,856064,69341184,0,0,0,0,0,0,10340794368,4190744576,6133272576,40.6,28419,103579,1228244480,1066479616,149265,401965,8136,34550,264892,59104922,71324076,343049,351716,0,0,0,0,1637994124,1
0.1,0,0.1,99.9,0,0,0,0,0,0,0,0.1,0.1,0,0.1,99.9,0,0,0,0,0,0,1016025088,613113856,39.7,239906816,265101312,243855360,383234048,28389376,482627584,856064,69341184,0,0,0,0,0,0,10340794368,4190744576,6133272576,40.6,28419,103582,1228244480,1066508288,149265,401968,8136,34554,264904,59115108,71326606,343066,351744,0,0,0,0,1637994139,1
0.1,0,0.1,99.8,0,0,0,0,0,0,0,0.2,0.1,0,0.1,99.8,0,0,0,0,0,0,1016025088,613117952,39.7,239902720,265101312,243855360,383242240,28389376,482631680,856064,69341184,0,0,0,0,0,0,10340794368,4190744576,6133272576,40.6,28419,103582,1228244480,1066508288,149265,401968,8136,34554,264904,59123142,71328206,343077,351758,0,0,0,0,1637994154,1
0.1,0,0.1,99.7,0,0,0,0,0,0,0,0.3,0.1,0,0.1,99.7,0,0,0,0,0,0,1016025088,613142528,39.7,239869952,265117696,243867648,383238144,28397568,482639872,856064,69324800,0,0,0,0,0,0,10340794368,4190752768,6133264384,40.6,28419,103587,1228244480,1066532864,149265,401972,8136,34555,264912,59130884,71330182,343090,351779,0,0,0,0,1637994169,1
0.1,0,0.1,99.9,0,0,0,0,0,0,0,0.1,0.1,0,0.1,99.9,0,0,0,0,0,0,1016025088,613150720,39.7,239869952,265117696,243867648,383254528,28397568,482639872,856064,69324800,0,0,0,0,0,0,10340794368,4190752768,6133264384,40.6,28419,103588,1228244480,1066536960,149265,401972,8136,34555,264916,59130884,71330182,343090,351779,0,0,0,0,1637994184,1
0.1,0,0.1,99.8,0,0,0,0.1,0,0,0,0.2,0.1,0,0.1,99.8,0,0,0,0.1,0,0,1016025088,613158912,39.7,239861760,265117696,243871744,383258624,28401664,482643968,856064,69324800,0,0,0,0,0,0,10340794368,4190756864,6133260288,40.6,28419,103591,1228244480,1066565632,149265,401975,8136,34558,264924,59130926,71330224,343091,351780,0,0,0,0,1637994199,1
0.1,0,0.1,99.8,0,0,0,0,0,0,0,0.2,0.1,0,0.1,99.8,0,0,0,0,0,0,1016025088,613158912,39.7,239861760,265117696,243871744,383279104,28401664,482643968,856064,69324800,0,0,0,0,0,0,10340794368,4190756864,6133260288,40.6,28419,103591,1228244480,1066565632,149265,401975,8136,34558,264924,59130926,71330224,343091,351780,0,0,0,0,1637994214,1
0.1,0,0.1,99.8,0,0,0,0,0,0,0,0.2,0.1,0,0.1,99.8,0,0,0,0,0,0,1016025088,613150720,39.7,239869952,265101312,243879936,383283200,28409856,482643968,856064,69341184,0,0,0,0,0,0,10340794368,4190756864,6133260288,40.6,28419,103596,1228244480,1066606592,149265,401980,8136,34563,264936,59130926,71330224,343091,351780,0,0,0,0,1637994229,0
0.1,0,0.1,99.8,0,0,0,0,0,0,0,0.2,0.1,0,0.1,99.8,0,0,0,0,0,0,1016025088,613150720,39.7,239869952,265101312,243879936,383283200,28409856,482643968,856064,69341184,0,0,0,0,0,0,10340794368,4190756864,6133260288,40.6,28419,103596,1228244480,1066606592,149265,401980,8136,34563,264936,59130926,71330224,343091,351780,0,0,0,0,1637994244,0
0.1,0,0.1,99.7,0.1,0,0,0,0,0,0,0.2,0.1,0,0.1,99.7,0.1,0,0,0,0,0,1016025088,613167104,39.7,239845376,265101312,243896320,383283200,28426240,482652160,856064,69341184,0,0,0,0,0,0,10340794368,4190765056,6133252096,40.6,28419,103601,1228244480,1066647552,149265,401985,8136,34568,264948,59130968,71330266,343092,351781,0,0,0,0,1637994259,0
0.1,0,0,99.9,0,0,0,0,0,0,0,0.1,0.1,0,0,99.9,0,0,0,0,0,0,1016025088,613175296,39.6,239845376,265101312,243896320,383291392,28426240,482652160,856064,69341184,0,0,0,0,0,0,10340794368,4190765056,6133252096,40.6,28419,103602,1228244480,1066651648,149265,401986,8136,34568,264952,59130968,71330266,343092,351781,0,0,0,0,1637994274,0
0.1,0,0.1,99.8,0,0,0,0,0,0,0,0.2,0.1,0,0.1,99.8,0,0,0,0,0,0,1016025088,613191680,39.6,239820800,265117696,243896320,383291392,28434432,482652160,856064,69324800,0,0,0,0,0,0,10340794368,4190765056,6133252096,40.6,28419,103607,1228244480,1066680320,149265,401989,8136,34570,264960,59130968,71330266,343092,351781,0,0,0,0,1637994289,0
1.3,0,0.4,97.9,0.4,0,0,0,0,0,0,1.7,1.3,0,0.4,97.9,0.4,0,0,0,0,0,1016025088,613244928,39.6,239759360,262021120,245276672,385048576,29388800,484855808,856064,69357568,0,0,0,0,0,0,10340794368,4190846976,6133170176,40.6,28534,103611,1231115776,1066815488,149360,401993,8340,34598,265136,59130968,71330266,343092,351781,0,0,0,0,1637994304,0
0.1,0,0.1,99.7,0.1,0,0,0,0,0,0,0.2,0.1,0,0.1,99.7,0.1,0,0,0,0,0,1016025088,613253120,39.6,239751168,262021120,245280768,385056768,29388800,484864000,856064,69357568,0,0,0,0,0,0,10340794368,4190846976,6133170176,40.6,28535,103612,1231119872,1066819584,149361,401994,8340,34598,265144,59131808,71331052,343098,351789,0,0,0,0,1637994319,0
0,0,0.2,99.8,0,0,0,0,0,0,0,0.2,0,0,0.2,99.8,0,0,0,0,0,0,1016025088,613007360,39.7,239984640,261763072,245284864,385060864,29401088,484876288,856064,69365760,0,0,0,0,0,0,10340794368,4190846976,6133170176,40.6,28536,103681,1231123968,1068302336,149362,402063,8340,34651,265164,59134644,71332252,343104,351797,0,0,0,0,1637994334,0
0.1,0,0.1,99.7,0,0,0,0,0,0,0,0.3,0.1,0,0.1,99.7,0,0,0,0,0,0,1016025088,613015552,39.7,239980544,261763072,245313536,385048576,29401088,484880384,856064,69365760,0,0,0,0,0,0,10340794368,4190855168,6133161984,40.6,28536,103687,1231123968,1068552192,149362,402074,8340,34651,265168,59134778,71332412,343105,351799,0,0,0,0,1637994349,0
0.1,0,0.1,99.7,0.1,0,0,0,0,0,0,0.2,0.1,0,0.1,99.7,0.1,0,0,0,0,0,1016025088,613027840,39.7,239968256,261763072,245317632,385056768,29409280,484884480,856064,69365760,0,0,0,0,0,0,10340794368,4190859264,6133157888,40.6,28536,103719,1231123968,1068785664,149362,402112,8340,34676,265176,59134778,71332412,343105,351799,0,0,0,0,1637994364,0
0.1,0,0,99.9,0,0,0,0,0,0,0,0.1,0.1,0,0,99.9,0,0,0,0,0,0,1016025088,613031936,39.7,239968256,261763072,245321728,385056768,29409280,484884480,856064,69365760,0,0,0,0,0,0,10340794368,4190859264,6133157888,40.6,28536,103721,1231123968,1068797952,149362,402114,8340,34676,265180,59134778,71332412,343105,351799,0,0,0,0,1637994379,0
0.1,0,0.1,99.8,0,0,0,0,0,0,0,0.2,0.1,0,0.1,99.8,0,0,0,0,0,0,1016025088,613031936,39.7,239968256,261763072,245321728,385056768,29409280,484884480,856064,69365760,0,0,0,0,0,0,10340794368,4190859264,6133157888,40.6,28536,103730,1231123968,1068843008,149362,402122,8340,34678,265184,59134778,71332412,343105,351799,0,0,0,0,1637994394,0
0.1,0,0.1,99.7,0,0,0,0.1,0,0,0,0.3,0.1,0,0.1,99.7,0,0,0,0.1,0,0,1016025088,613040128,39.7,239960064,261763072,245334016,385056768,29417472,484884480,856064,69365760,0,0,0,0,0,0,10340794368,4190859264,6133157888,40.6,28536,103733,1231123968,1068871680,149362,402125,8340,34682,265196,59134778,71332412,343105,351799,0,0,0,0,1637994409,0
0.1,0,0.1,99.7,0,0,0,0,0,0,0,0.2,0.1,0,0.1,99.8,0,0,0,0,0,0,1016025088,617574400,39.2,235425792,266297344,245329920,381042688,29417472,484884480,856064,69287936,0,0,0,0,0,0,10340794368,4190859264,6133157888,40.6,28536,103733,1231123968,1068871680,149362,402125,8340,34682,265196,59134778,71332452,343105,351800,0,0,0,0,1637994424,0
0.1,0,0.1,99.9,0,0,0,0,0,0,0,0.1,0.1,0,0.1,99.9,0,0,0,0,0,0,1016025088,617582592,39.2,235409408,266297344,245338112,381042688,29425664,484892672,856064,69287936,0,0,0,0,0,0,10340794368,4190867456,6133149696,40.6,28536,103744,1231123968,1068953600,149362,402137,8340,34691,265204,59134820,71332494,343106,351801,0,0,0,0,1637994439,0
0.1,0,0.1,99.8,0,0,0,0,0,0,0,0.2,0.1,0,0.1,99.8,0,0,0,0,0,0,1016025088,617590784,39.2,235409408,266297344,245338112,381059072,29425664,484892672,856064,69287936,0,0,0,0,0,0,10340794368,4190867456,6133149696,40.6,28536,103801,1231123968,1069240320,149362,402182,8340,34692,265216,59134820,71332494,343106,351801,0,0,0,0,1637994454,0
0.1,0,0.1,99.7,0.1,0,0,0,0,0,0,0.2,0.1,0,0.1,99.7,0.1,0,0,0,0,0,1016025088,617607168,39.2,235393024,266305536,245346304,381059072,29433856,484892672,856064,69279744,0,0,0,0,0,0,10340794368,4190867456,6133149696,40.6,28536,103803,1231123968,1069264896,149362,402184,8340,34696,265224,59134820,71332494,343106,351801,0,0,0,0,1637994469,0
0.1,0,0.1,99.9,0,0,0,0,0,0,0,0.1,0.1,0,0.1,99.9,0,0,0,0,0,0,1016025088,617607168,39.2,235393024,266305536,245346304,381059072,29433856,484892672,856064,69279744,0,0,0,0,0,0,10340794368,4190867456,6133149696,40.6,28536,103804,1231123968,1069277184,149362,402185,8340,34697,265228,59134820,71332494,343106,351801,0,0,0,0,1637994484,0
0.1,0,0.1,99.9,0,0,0,0,0,0,0,0.1,0.1,0,0.1,99.9,0,0,0,0,0,0,1016025088,617615360,39.2,235384832,266305536,245354496,381059072,29442048,484892672,856064,69279744,0,0,0,0,0,0,10340794368,4190867456,6133149696,40.6,28536,103812,1231123968,1069326336,149362,402192,8340,34701,265236,59134862,71332536,343107,351802,0,0,0,0,1637994499,0
0,0,0.1,99.9,0,0,0,0,0,0,0,0.2,0.1,0,0.1,99.8,0,0,0,0,0,0,1016025088,617615360,39.2,235384832,266305536,245354496,381059072,29442048,484892672,856064,69279744,0,0,0,0,0,0,10340794368,4190867456,6133149696,40.6,28536,103812,1231123968,1069326336,149362,402192,8340,34701,265236,59134862,71332536,343107,351802,0,0,0,0,1637994514,0
0.1,0,0.1,99.8,0,0,0,0,0,0,0,0.1,0.1,0,0.1,99.9,0,0,0,0,0,0,1016025088,617619456,39.2,235380736,266297344,245358592,381067264,29446144,484900864,856064,69287936,0,0,0,0,0,0,10340794368,4190875648,6133141504,40.6,28536,103814,1231123968,1069338624,149362,402193,8340,34702,265244,59134862,71332536,343107,351802,0,0,0,0,1637994529,0
